"Easting","Northing","Latitude","Longitude","Family","Cover_Class","Number","Genus_species"
"609345.10 m E","3900157.47 m N","35° 14' 18.712""","-115° 47' 53.704""","Brassicaceae","Rock","1","Lepidium densiflorum"
"609345.10 m E","3900157.47 m N","35° 14' 18.712""","-115° 47' 53.704""","Asteraceae","Rock","3","Perityle emoryi"
"609345.10 m E","3900157.47 m N","35° 14' 18.712""","-115° 47' 53.704""","Cactaceae","Rock","1","Cylindropuntia acanthocarpa"
"609345.10 m E","3900157.47 m N","35° 14' 18.712""","-115° 47' 53.704""","Boraginaceae","Rock","1","Pectocarya heterocarpa"
"609340.09 m E","3900158.07 m N","35° 14' 18.733""","-115° 47' 53.902""","Plantaginaceae","Gravel","1","Plantago ovata"
"609340.09 m E","3900158.07 m N","35° 14' 18.733""","-115° 47' 53.902""","Brassicaceae","Gravel","2","Lepidium densiflorum"
"609353.69 m E","3900162.12 m N","35° 14' 18.859""","-115° 47' 53.362""","Cactaceae","Rock","1","Ferocactus cylindraceus"
"609353.69 m E","3900162.12 m N","35° 14' 18.859""","-115° 47' 53.362""","Brassicaceae","Rock","8","Lepidium densiflorum"
"609353.69 m E","3900162.12 m N","35° 14' 18.859""","-115° 47' 53.362""","Asteraceae","Rock","1","Stylocline micropoides"
"609358.56 m E","3900166.39 m N","35° 14' 18.996""","-115° 47' 53.167""","Boraginaceae","Rock","3","Pectocarya heterocarpa"
"609358.56 m E","3900166.39 m N","35° 14' 18.996""","-115° 47' 53.167""","Brassicaceae","Rock","2","Lepidium densiflorum"
"609358.56 m E","3900166.39 m N","35° 14' 18.996""","-115° 47' 53.167""","Boraginaceae","Rock","1","Plagiobothrys jonesii"
"609360.69 m E","3900170.30 m N","35° 14' 19.122""","-115° 47' 53.081""","Boraginaceae","Litter","9","Amsinckia tessellata"
"609360.69 m E","3900170.30 m N","35° 14' 19.122""","-115° 47' 53.081""","Agavaceae","Litter","1","Yucca schidigera"
"609360.47 m E","3900173.62 m N","35° 14' 19.230""","-115° 47' 53.088""","Asteraceae","Rock","1","Stylocline micropoides"
"609360.47 m E","3900173.62 m N","35° 14' 19.230""","-115° 47' 53.088""","Poaceae","Rock","3","Dasyochloa pulchella"
"609360.47 m E","3900173.62 m N","35° 14' 19.230""","-115° 47' 53.088""","Boraginaceae","Rock","2","Plagiobothrys jonesii"
"609282.18 m E","3899859.31 m N","35° 14' 9.060""","-115° 47' 56.335""","Geraniaceae","Rock/gravel","4","Erodium cicutarium"
"609282.18 m E","3899859.31 m N","35° 14' 9.060""","-115° 47' 56.335""","Poaceae","Rock/gravel","2","Dasyochloa pulchella"
"609282.18 m E","3899859.31 m N","35° 14' 9.060""","-115° 47' 56.335""","Polemoniaceae","Rock/gravel","6","Gilia clokeyi"
"609282.18 m E","3899859.31 m N","35° 14' 9.060""","-115° 47' 56.335""","Asteraceae","Rock/gravel","5","Monoptilon bellioides"
"609282.18 m E","3899859.31 m N","35° 14' 9.060""","-115° 47' 56.335""","Ephedraceae","Rock/gravel","1","Ephedra viridis"
"609282.18 m E","3899859.31 m N","35° 14' 9.060""","-115° 47' 56.335""","Asteraceae","Rock/gravel","1","Ambrosia dumosa"
"609282.18 m E","3899859.31 m N","35° 14' 9.060""","-115° 47' 56.335""","Fabaceae","Rock/gravel","1","Astragalus mohavensis"
"609282.18 m E","3899859.31 m N","35° 14' 9.060""","-115° 47' 56.335""","Fabaceae","Rock/gravel","3","Astragalus nuttallianus"
"609282.18 m E","3899859.31 m N","35° 14' 9.060""","-115° 47' 56.335""","Asteraceae","Rock/gravel","5","Stylocline micropoides"
"609282.18 m E","3899859.31 m N","35° 14' 9.060""","-115° 47' 56.335""","Brassicaceae","Rock/gravel","2","Lepidium densiflorum"
"609282.18 m E","3899859.31 m N","35° 14' 9.060""","-115° 47' 56.335""","Boraginaceae","Rock/gravel","2","Cryptantha angustifolia"
"609284.25 m E","3899868.99 m N","35° 14' 9.373""","-115° 47' 56.249""","Asteraceae","Rock/gravel","1","Ambrosia dumosa"
"609284.25 m E","3899868.99 m N","35° 14' 9.373""","-115° 47' 56.249""","Cactaceae","Rock/gravel","1","Opuntia basilaris"
"609284.25 m E","3899868.99 m N","35° 14' 9.373""","-115° 47' 56.249""","Polygonaceae","Rock/gravel","2","Eriogonum inflatum"
"609284.25 m E","3899868.99 m N","35° 14' 9.373""","-115° 47' 56.249""","Themidaceae","Rock/gravel","8","Dichelostemma capitatum"
"609284.25 m E","3899868.99 m N","35° 14' 9.373""","-115° 47' 56.249""","Plantaginaceae","Rock/gravel","2","Plantago ovata"
"609276.83 m E","3899873.34 m N","35° 14' 9.517""","-115° 47' 56.540""","Polygonaceae","Gravel","1","Eriogonum inflatum"
"609276.83 m E","3899873.34 m N","35° 14' 9.517""","-115° 47' 56.540""","Plantaginaceae","Gravel","4","Plantago ovata"
"609276.83 m E","3899873.34 m N","35° 14' 9.517""","-115° 47' 56.540""","Asteraceae","Gravel","4","Stylocline micropoides"
"609276.83 m E","3899873.34 m N","35° 14' 9.517""","-115° 47' 56.540""","Malvaceae","Gravel","1","Sphaeralcea ambigua"
"609276.83 m E","3899873.34 m N","35° 14' 9.517""","-115° 47' 56.540""","Boraginaceae","Gravel","4","Cryptantha angustifolia"
"609280.67 m E","3899871.83 m N","35° 14' 9.467""","-115° 47' 56.389""","Polemoniaceae","Gravel","2","Langloisia setosissima"
"609280.67 m E","3899871.83 m N","35° 14' 9.467""","-115° 47' 56.389""","Brassicaceae","Gravel","4","Lepidium densiflorum"
"609280.67 m E","3899871.83 m N","35° 14' 9.467""","-115° 47' 56.389""","Boraginaceae","Gravel","5","Pectocarya penicillata"
"609289.80 m E","3899884.70 m N","35° 14' 9.881""","-115° 47' 56.022""","Asteraceae","Gravel","4","Monoptilon bellioides"
"609289.80 m E","3899884.70 m N","35° 14' 9.881""","-115° 47' 56.022""","Boraginaceae","Gravel","4","Cryptantha angustifolia"
"609289.80 m E","3899884.70 m N","35° 14' 9.881""","-115° 47' 56.022""","Asteraceae","Gravel","1","Stylocline micropoides"
"609289.80 m E","3899884.70 m N","35° 14' 9.881""","-115° 47' 56.022""","Plantaginaceae","Gravel","2","Plantago ovata"
"609284.25 m E","3899891.84 m N","35° 14' 10.115""","-115° 47' 56.238""","Boraginaceae","Rock/gravel","7","Cryptantha angustifolia"
"609284.25 m E","3899891.84 m N","35° 14' 10.115""","-115° 47' 56.238""","Cactaceae","Rock/gravel","1","Ferocactus cylindraceus"
"609284.25 m E","3899891.84 m N","35° 14' 10.115""","-115° 47' 56.238""","Plantaginaceae","Rock/gravel","2","Plantago ovata"
"609284.25 m E","3899891.84 m N","35° 14' 10.115""","-115° 47' 56.238""","Chenopodiaceae","Rock/gravel","1","Grayia spinosa"
"609285.32 m E","3899893.74 m N","35° 14' 10.176""","-115° 47' 56.195""","Ephedraceae","Rock/gravel","1","Ephedra viridis"
"609285.32 m E","3899893.74 m N","35° 14' 10.176""","-115° 47' 56.195""","Asteraceae","Rock/gravel","5","Monoptilon bellioides"
"609285.65 m E","3899904.17 m N","35° 14' 10.514""","-115° 47' 56.177""","Zygophyllaceae","Gravel","1","Larrea tridentata"
"609285.65 m E","3899904.17 m N","35° 14' 10.514""","-115° 47' 56.177""","Cactaceae","Gravel","1","Opuntia basilaris"
"609282.69 m E","3899908.24 m N","35° 14' 10.648""","-115° 47' 56.292""","Ephedraceae","Gravel","1","Ephedra viridis"
"609282.69 m E","3899908.24 m N","35° 14' 10.648""","-115° 47' 56.292""","Plantaginaceae","Gravel","5","Plantago ovata"
"609285.30 m E","3899910.27 m N","35° 14' 10.713""","-115° 47' 56.188""","Polygonaceae","Granite","2","Eriogonum inflatum"
"609285.30 m E","3899910.27 m N","35° 14' 10.713""","-115° 47' 56.188""","Ephedraceae","Granite","1","Ephedra viridis"
"609285.30 m E","3899910.27 m N","35° 14' 10.713""","-115° 47' 56.188""","Malvaceae","Granite","1","Sphaeralcea ambigua"
"609285.30 m E","3899910.27 m N","35° 14' 10.713""","-115° 47' 56.188""","Chenopodiaceae","Gravel","2","Grayia spinosa"
"609285.30 m E","3899910.27 m N","35° 14' 10.713""","-115° 47' 56.188""","Boraginaceae","Gravel","3","Cryptantha angustifolia"
"609285.30 m E","3899910.27 m N","35° 14' 10.713""","-115° 47' 56.188""","Plantaginaceae","Gravel","1","Plantago ovata"
"609294.85 m E","3899865.24 m N","35° 14' 9.247""","-115° 47' 55.831""","Asteraceae","Gravel","2","Ambrosia dumosa"
"609294.85 m E","3899865.24 m N","35° 14' 9.247""","-115° 47' 55.831""","Boraginaceae","Gravel","3","Cryptantha angustifolia"
