"","Genus_species","Easting","Northing"
"175","Atriplex canescens",609504.297146313,3899494.73045406
"176","Atriplex canescens",609514.625388888,3899498.6270742
"177","Atriplex canescens",609514.787224975,3899500.29291071
"178","Atriplex polycarpa",608912.815335155,3899712.87005213
"179","Atriplex polycarpa",609629.943464012,3899813.27787781
"180","Atriplex polycarpa",609636.125831817,3899813.79659607
"181","Atriplex polycarpa",609638.403431906,3899813.60238366
"182","Atriplex polycarpa",609672.998196465,3899812.69114712
"183","Atriplex polycarpa",609613.645856219,3899791.33882044
"184","Atriplex polycarpa",609604.257065934,3899792.55602243
"185","Atriplex polycarpa",609644.452720763,3899765.09059259
"186","Atriplex polycarpa",609652.27441003,3899765.51828925
"187","Atriplex polycarpa",609657.736911728,3899765.36273408
"188","Atriplex polycarpa",609595.500086177,3899749.18901228
"189","Atriplex polycarpa",609617.255775548,3899778.84808005
"190","Atriplex polycarpa",609603.443969984,3899784.55955205
"191","Atriplex polycarpa",609593.590774413,3899786.54760736
"192","Atriplex polycarpa",609625.55145701,3899755.21075763
"193","Atriplex polycarpa",609647.557088114,3899749.26597467
"194","Atriplex polycarpa",609623.654151279,3899731.56069214
"195","Atriplex polycarpa",609618.47134984,3899731.16503653
"196","Atriplex polycarpa",609613.276438512,3899731.76756281
"197","Atriplex polycarpa",609634.342211338,3899908.28315616
"198","Atriplex polycarpa",609645.6444827,3899906.86736083
"199","Atriplex polycarpa",609651.193856096,3899907.04563446
"200","Atriplex polycarpa",609654.446806973,3899908.97084197
"201","Atriplex polycarpa",609659.819572962,3899908.70327693
"202","Atriplex polycarpa",609665.356829247,3899909.87973852
"203","Atriplex polycarpa",609667.650561153,3899908.35462839
"204","Atriplex polycarpa",609672.55084915,3899909.52336269
"205","Atriplex polycarpa",609575.242432532,3899858.64822398
"206","Baccharis salicina",608866.984631717,3899702.11880791
"207","Baccharis salicina",608867.314752912,3899704.09478113
"208","Baccharis salicina",608829.138581559,3899700.09144877
"209","Baccharis salicina",608832.173265361,3899697.90950653
"210","Baccharis salicina",608847.957968578,3899695.01840528
"211","Baccharis salicina",609121.061072611,3900013.55493229
"212","Baccharis salicina",609137.1854674,3900034.82543828
"213","Baccharis salicina",609135.99662225,3900043.25369653
"214","Baccharis salicina",609137.396048387,3900046.69078719
"215","Baccharis salicina",609138.921481552,3900050.16021283
"216","Baccharis salicina",609164.667891519,3900042.92221856
"217","Baccharis salicina",609164.810203823,3900045.78949919
"218","Baccharis salicina",609423.005257024,3899906.99059707
"219","Baccharis salicina",609431.005686502,3899906.00905827
"220","Baccharis salicina",609447.978111734,3899959.48948379
"221","Baccharis salicina",609449.075817706,3899958.60921882
"222","Baccharis salicina",608897.257620331,3899877.31339558
"223","Baccharis salicina",608916.169097026,3899893.9335765
"224","Baccharis salicina",608876.532967767,3899868.49776684
"225","Baccharis salicina",608895.325862229,3899880.2789193
"226","Baccharis salicina",608899.230060995,3899887.75177559
"227","Baccharis salicina",608912.176526294,3899893.79300901
"228","Baccharis salicina",609299.536840186,3899854.74790297
"229","Baccharis salicina",609300.069421573,3899810.72329635
"230","Baccharis salicina",609275.830972396,3899858.34352794
"231","Baccharis salicina",609280.068686676,3899852.84853516
"232","Baccharis salicina",609280.034218725,3899849.42793195
