"taxa","internal transcribed spacer","atpb","trnK","trnL","matK","matR","ndhF","rbcL"
"Chaenactis stevioides",NA,NA,NA,NA,NA,NA,NA,NA
"Chamaesyce albomarginata",NA,NA,NA,NA,NA,NA,NA,NA
"Chorizanthe rigida","397913597",NA,"529273993","397913751","529273993",NA,"145202864","145202763"
"Chrysothamnus viscidiflorus","2896077",NA,"745998224","745998343","745998224",NA,NA,"1325358007"
"Cleomella arborea","530452706",NA,"170517189","544590540","170517189","1009025112","27461398","1009024970"
"Cryptandra angustifolia",NA,NA,NA,NA,NA,NA,NA,NA
"Cryptantha angustifolia","399606181",NA,NA,"451766240",NA,NA,NA,NA
"Cryptanthus angustifolius",NA,NA,NA,NA,NA,NA,NA,NA
"Cylindropuntia acanthocarpa","326886132","961683247","374265473",NA,"374265473",NA,NA,"961683247"
"Cylindropuntia echinocarpa","326886166",NA,"374265766",NA,"374265766",NA,NA,NA
"Cylindropuntia ramosissima","326886201","961683266",NA,NA,NA,NA,NA,"961683266"
"Cylindropuntia ramossissima",NA,NA,NA,NA,NA,NA,NA,NA
"Cynodon dactylon","1524093420","1039727014","6642867","134251817","1285893735",NA,"164564852","1352503214"
"Dalea greggii",NA,NA,NA,NA,NA,NA,NA,NA
"Dasyochloa pulchella","134251819",NA,"379136558","134251819","379136558",NA,"379136522","379136641"
"Dichelostemma capitatum","157504490","372479779","372485219","24181911","372485219",NA,"372485985","372480316"
"Didymodon","1402232456","63078444",NA,"22854716",NA,NA,NA,"1134027100"
"Dryophytes","60267652",NA,NA,NA,NA,NA,NA,NA
"Echinocactus polycephalus",NA,"1524324721","374265746","1524318489","374265746",NA,NA,"1524324721"
"Echinocereus engelmannii",NA,NA,"374269930","699026833","374269930",NA,NA,"699026407"
"Echinocereus triglochidiatus",NA,NA,"374265592","72385328","374265592",NA,NA,"699026471"
"Echinocereus triglochidiatus ssp. mojavensis",NA,NA,NA,NA,NA,NA,NA,NA
"Echinocereus triglochidiatus subsp. mojavensis",NA,NA,NA,NA,NA,NA,NA,NA
"Echinocereus triglochidiatus var. mojavensis",NA,NA,NA,NA,NA,NA,NA,NA
