Observation #,Easting,Northing,GPS #,WP,Photo,Camera,Cover Class,Incline,Identify Plant,Number,Number Total (vascular),Number Unique,Plant Description,Abstract,Team,Correct ID?,Notes,QC,
"MJV8-16-BIO-VT-6,2-D",609277.57 m E,3899879.89 m N,4,17,73,Brian Rivas,Gravel ,N/A,Poaceae**,3,37,7,Rice Grass?,,Rivas/S.Gregory,N,,SM,
"MJV8-16-BIO-VT-6,2-D",609277.57 m E,3899879.89 m N,4,17,73,Brian Rivas,Gravel ,N/A,Stylocline micropoides,1,37,7,Desert Nest Straw,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-E",609275.14 m E,3899884.96 m N,4,19,75,Brian Rivas,Gravel,N/A,Monoptilon bellioides,3,80,7,Mojave Desert Star,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-E",609275.14 m E,3899884.96 m N,4,19,75,Brian Rivas,Gravel,N/A,Erodium cicutarium,7,80,7,Pinweed,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-E",609275.14 m E,3899884.96 m N,4,19,75,Brian Rivas,Gravel,N/A,Stylocline micropoides,3,80,7,Desert Nest Straw,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-E",609275.14 m E,3899884.96 m N,4,19,75,Brian Rivas,Gravel,N/A,Poaceae**,60,80,7,Red brome?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-E",609275.14 m E,3899884.96 m N,4,19,75,Brian Rivas,Gravel,N/A,Poaceae**,5,80,7,Rice Grass?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-E",609275.14 m E,3899884.96 m N,4,19,75,Brian Rivas,Gravel,N/A,Cryptantha angustifolia,3,80,7,Forget me not,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-E",609275.14 m E,3899884.96 m N,4,19,75,Brian Rivas,Gravel,N/A,Gilia cana spp. specifomis ,2,80,7,Showy Gilia,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-F",609275.53 m E,3899889.96 m N,4,22,76,Brian Rivas,Gravel,N/A,Plantago ovata,3,48,7,Desert Plantain,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-F",609275.53 m E,3899889.96 m N,4,22,76,Brian Rivas,Gravel,N/A,Poaceae**,30,48,7,Red brome?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-F",609275.53 m E,3899889.96 m N,4,22,76,Brian Rivas,Gravel,N/A,Cryptantha angustifolia,4,48,7,Forget me not,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-F",609275.53 m E,3899889.96 m N,4,22,77,Brian Rivas,Gravel,N/A,Lupinus concinnus,1,48,7,Bajada Lupine,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-F",609275.53 m E,3899889.96 m N,4,22,76,Brian Rivas,Gravel,N/A,Erodium cicutarium,3,48,7,Pinweed,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-F",609275.53 m E,3899889.96 m N,4,22,76,Brian Rivas,Gravel,N/A,Stylocline micropoides,2,48,7,Desert Nest Straw,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-F",609275.53 m E,3899889.96 m N,4,22,76,Brian Rivas,Gravel,N/A,Poaceae**,5,48,7,Rice Grass?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-G",609275.83 m E,3899858.35 m N,4,24,78,Brian Rivas,Basalt,N/A,Cryptantha angustifolia,4,42,7,Forget me not,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-G",609275.83 m E,3899858.35 m N,4,24,78,Brian Rivas,Basalt,N/A,Monoptilon bellioides,2,42,7,Mojave Desert Star,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-G",609275.83 m E,3899858.35 m N,4,24,78,Brian Rivas,Basalt,N/A,Poaceae**,8,42,7,Rice Grass?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-G",609275.83 m E,3899858.35 m N,4,24,78,Brian Rivas,Basalt,N/A,Poaceae**,20,42,7,Red brome?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-G",609275.83 m E,3899858.35 m N,4,24,78,Brian Rivas,Basalt,N/A,Lepidium densiflorum,4,42,7,Common Pepperweeed,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-G",609275.83 m E,3899858.35 m N,4,24,78,Brian Rivas,Basalt,N/A,Baccharis salicina,3,42,7,Mulefat,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-G",609275.83 m E,3899858.35 m N,4,24,81,Brian Rivas,Basalt,N/A,Echinocereus engelmannii,1,42,7,Hedgehog Cactus,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-H",609280.08 m E,3899852.85 m N,4,21,81,Brian Rivas,Gravel,N/A,Cylindropuntia acanthocarpa,1,TMTC,8,Buckhorn Cholla,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-H",609280.08 m E,3899852.85 m N,4,21,81,Brian Rivas,Gravel,N/A,Poaceae**,TMTC,TMTC,8,Red brome?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-H",609280.08 m E,3899852.85 m N,4,21,81,Brian Rivas,Gravel,N/A,Gilia cana spp. specifomis flower,2,TMTC,8,Showy Gilia,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-H",609280.08 m E,3899852.85 m N,4,21,81,Brian Rivas,Gravel,N/A,Erodium cicutarium,6,TMTC,8,Pinweed,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-H",609280.08 m E,3899852.85 m N,4,21,81,Brian Rivas,Gravel,N/A,Cryptantha angustifolia,2,TMTC,8,Forget me not,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-H",609280.08 m E,3899852.85 m N,4,21,81,Brian Rivas,Gravel,N/A,Lepidium densiflorum,1,TMTC,8,Common Pepperweeed,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-H",609280.08 m E,3899852.85 m N,4,21,81,Brian Rivas,Gravel,N/A,Ambrosia dumosa,1,TMTC,8,White bursage,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-H",609280.08 m E,3899852.85 m N,4,21,81,Brian Rivas,Gravel,N/A,Baccharis salicina,1,TMTC,8,Mulefat,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-I",609280.03 m E,3899849.42 m N,4,26,82,Brian Rivas,Basalt,N/A,Poaceae**,12,29,8,Red brome?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-I",609280.03 m E,3899849.42 m N,4,26,82,Brian Rivas,Basalt,N/A,Lycium andersonii,1,29,8,Thorn Bush,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-I",609280.03 m E,3899849.42 m N,4,26,82,Brian Rivas,Basalt,N/A,Cryptantha angustifolia,4,29,8,Forget me not,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-I",609280.03 m E,3899849.42 m N,4,26,82,Brian Rivas,Basalt,N/A,Ambrosia dumosa,3,29,8,White bursage,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-I",609280.03 m E,3899849.42 m N,4,26,82,Brian Rivas,Basalt,N/A,Gilia cana spp. specifomis ,1,29,8,Showy Gilia,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-I",609280.03 m E,3899849.42 m N,4,26,82,Brian Rivas,Basalt,N/A,Erodium cicutarium,3,29,8,Pinweed,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-I",609280.03 m E,3899849.42 m N,4,26,82,Brian Rivas,Basalt,N/A,Gilia cana ssp. speciformis,4,29,8,Showy Gilia,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-I",609280.03 m E,3899849.42 m N,4,26,82,Brian Rivas,Basalt,N/A,Baccharis salicina,1,29,8,Common Pepperweeed,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-J",609277.37 m E,3899843.50 m N,4,27,83,Brian Rivas,Live Pla,N/A,Erodium cicutarium,4,TMTC,6,Pinweed,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-J",609277.37 m E,3899843.50 m N,4,27,83,Brian Rivas,Live Pla,N/A,Poaceae**,TMTC,TMTC,6,Red brome?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-J",609277.37 m E,3899843.50 m N,4,27,83,Brian Rivas,Live Pla,N/A,Lycium andersonii,1,TMTC,6,Thorn Bush,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-J",609277.37 m E,3899843.50 m N,4,27,83,Brian Rivas,Live Pla,N/A,Cryptantha angustifolia,3,TMTC,6,Forget Me Not,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-J",609277.37 m E,3899843.50 m N,4,27,83,Brian Rivas,Live Pla,N/A,Xylorhiza tortifolia,2,TMTC,6,Mojave Aster,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-J",609277.37 m E,3899843.50 m N,4,27,83,Brian Rivas,Live Pla,N/A,Gilia cana spp. specifomis ,3,TMTC,6,Showy Gilia,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3A",609287.57 m E,3899858.27 m N,4,31,84,Brian Rivas,Granitic,N/A,Stylocline micropoides,2,34,7,Desert Nest Straw,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3A",609287.57 m E,3899858.27 m N,4,31,84,Brian Rivas,Granitic,N/A,Plantago ovata,3,34,7,Desert Plantain,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3A",609287.57 m E,3899858.27 m N,4,31,84,Brian Rivas,Granitic,N/A,Cryptantha angustifolia,4,34,7,Forget me not,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3A",609287.57 m E,3899858.27 m N,4,31,84,Brian Rivas,Granitic,N/A,Poaceae**,15,34,7,Red brome?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-3A",609287.57 m E,3899858.27 m N,4,31,84,Brian Rivas,Granitic,N/A,Poaceae**,7,34,7,Rice Grass?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-3A",609287.57 m E,3899858.27 m N,4,31,84,Brian Rivas,Granitic,N/A,Xylorhiza tortifolia,2,34,7,Mojave Aster,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3A",609287.57 m E,3899858.27 m N,4,31,84,Brian Rivas,Granitic,N/A,Lycium andersonii,1,34,7,Thorn Bush,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3B",609286.71 m E,3899854.27 m N,4,32,85,Brian Rivas,Gravel,N/A,Plantago ovata,2,6,2,Desert Plantain,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3B",609286.71 m E,3899854.27 m N,4,32,85,Brian Rivas,Gravel,N/A,Poaceae**,4,6,2,Red brome?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-3C",609286.29 m E,3899850.60 m N,4,35,86,Brian Rivas,Sand,N/A,Encelia farinosa,1,40,6,Brittlebush,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3C",609286.29 m E,3899850.60 m N,4,35,86,Brian Rivas,Sand,N/A,Gilia cana spp. specifomis,3,40,6,Showy Gilia,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3C",609286.29 m E,3899850.60 m N,4,35,86,Brian Rivas,Sand,N/A,Plantago ovata,4,40,6,Desert Plantain,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3C",609286.29 m E,3899850.60 m N,4,35,86,Brian Rivas,Sand,N/A,Poaceae**,8,40,6,Red brome?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-3C",609286.29 m E,3899850.60 m N,4,35,86,Brian Rivas,Sand,N/A,Poaceae**,4,40,6,Rice Grass?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-3C",609286.29 m E,3899850.60 m N,4,35,86,Brian Rivas,Sand,N/A,"Unknown ""devil brush""?",1,40,6,Unknown,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-3D",609286.20 m E,3899843.50 m N,4,37,87,Brian Rivas,Live Pla,N/A,Poaceae**,5,11,5,Red brome?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-3D",609286.20 m E,3899843.50 m N,4,37,87,Brian Rivas,Live Pla,N/A,Baccharis salicina,1,11,5,Mulefat,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3D",609286.20 m E,3899843.50 m N,4,37,87,Brian Rivas,Live Pla,N/A,Gilia cana spp. specifomis,2,11,5,Showy Gilia,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3D",609286.20 m E,3899843.50 m N,4,37,87,Brian Rivas,Live Pla,N/A,Cylindropuntia acanthocarpa,1,11,5,Buckhorn Cholla,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3D",609286.20 m E,3899843.50 m N,4,37,87,Brian Rivas,Live Pla,N/A,Stylocline micropoides,2,11,5,Desert Nest Straw,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3E",609292.81 m E,3899846.02 m N,4,40,MJV8-16-,SMcClure,Cobble,N/A,Cryptantha angustifolia,5,50,5,Forget me not,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3E",609292.81 m E,3899846.02 m N,4,40,MJV8-16-,SMcClure,Cobble,N/A,Erodium cicutarium,4,50,5,Pinweed,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3E",609292.81 m E,3899846.02 m N,4,40,MJV8-16-,SMcClure,Cobble,N/A,Gilia cana spp. specifomis,3,50,5,Showy Gilia,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3E",609292.81 m E,3899846.02 m N,4,40,MJV8-16-,SMcClure,Cobble,N/A,Poaceae**,35,50,5,Red brome?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-3E",609292.81 m E,3899846.02 m N,4,40,MJV8-16-,SMcClure,Cobble,N/A,Lepidium densiflorum,3,50,5,Common Pepperweeed,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3E_",609296.14 m E,3899841.62 m N,4,41,MJV8-16-,SMcClure,Live Pla,N/A,Poaceae**,21,51,8,Red brome?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-3E_",609296.14 m E,3899841.62 m N,4,41,MJV8-16-,SMcClure,Live Pla,N/A,Cryptantha angustifolia,7,51,8,Forget me not,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3E_",609296.14 m E,3899841.62 m N,4,41,MJV8-16-,SMcClure,Live Pla,N/A,Lycium andersonii,1,51,8,Thorn Bush,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3E_",609296.14 m E,3899841.62 m N,4,41,MJV8-16-,SMcClure,Live Pla,N/A,Gilia cana spp. specifomis,6,51,8,Showy Gilia,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3E_",609296.14 m E,3899841.62 m N,4,41,MJV8-16-,SMcClure,Live Pla,N/A,Stylocline micropoides,3,51,8,Desert Nest Straw,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3E_",609296.14 m E,3899841.62 m N,4,41,MJV8-16-,SMcClure,Live Pla,N/A,Lepidium densiflorum,5,51,8,Common Pepperweeed,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3E_",609296.14 m E,3899841.62 m N,4,41,MJV8-16-,SMcClure,Live Pla,N/A,Peritoma arborea,7,51,8,Bladderpod,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3E_",609296.14 m E,3899841.62 m N,4,41,MJV8-16-,SMcClure,Live Pla,N/A,Pectocarya penicillata,1,51,8,Hairy leaved comb bur,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3F",609294.84 m E,3899836.62 m N,4,43,MJV8-16-,SMcClure,Gravel,N/A,Phacelia rotundifolia,3,27,8,Round Leafed Phacelia,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3F",609294.84 m E,3899836.62 m N,4,43,MJV8-16-,SMcClure,Gravel,N/A,Unknown lacey leaf,2,27,8,Unknown Lacey Leaf,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-3F",609294.84 m E,3899836.62 m N,4,43,MJV8-16-,SMcClure,Gravel,N/A,Lycium andersonii,2,27,8,Thorn Bush,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3F",609294.84 m E,3899836.62 m N,4,43,MJV8-16-,SMcClure,Gravel,N/A,Cylindropuntia ramosissima,1,27,8,Pencil Cholla,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3F",609294.84 m E,3899836.62 m N,4,43,MJV8-16-,SMcClure,Gravel,N/A,Cryptantha angustifolia,5,27,8,Forget Me Not,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3F",609294.84 m E,3899836.62 m N,4,43,MJV8-16-,SMcClure,Gravel,N/A,Gilia cana spp. specifomis,5,27,8,Showy Gilia,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3F",609294.84 m E,3899836.62 m N,4,43,MJV8-16-,SMcClure,Gravel,N/A,Erodium cicutarium,5,27,8,Pinweed,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3F",609294.84 m E,3899836.62 m N,4,43,MJV8-16-,SMcClure,Gravel,N/A,Stylocline micropoides,4,27,8,Desert Nest Straw,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3G",609289.01 m E,3899829.34 m N,4,45,MJV8-16-,SMcClure,Gravel,N/A,Poaceae**,TMTC,TMTC,8,Red brome?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-3G",609289.01 m E,3899829.34 m N,4,45,MJV8-16-,SMcClure,Gravel,N/A,Cylindropuntia acanthocarpa,1,TMTC,8,Buckhorn Cholla,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3G",609289.01 m E,3899829.34 m N,4,45,MJV8-16-,SMcClure,Gravel,N/A,Plantago ovata,3,TMTC,8,Desert Plantain,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3G",609289.01 m E,3899829.34 m N,4,45,MJV8-16-,SMcClure,Gravel,N/A,Echinocereus engelmannii,1,TMTC,8,Hedgehog Cactus,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3G",609289.01 m E,3899829.34 m N,4,45,MJV8-16-,SMcClure,Gravel,N/A,Erodium cicutarium,5,TMTC,8,Pinweed,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3G",609289.01 m E,3899829.34 m N,4,45,MJV8-16-,SMcClure,Gravel,N/A,Lepidium densiflorum,6,TMTC,8,Common Pepperweeed,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3G",609289.01 m E,3899829.34 m N,4,45,MJV8-16-,SMcClure,Gravel,N/A,Peritoma arborea,1,TMTC,8,Bladderpod,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3G",609289.01 m E,3899829.34 m N,4,45,MJV8-16-,SMcClure,Gravel,N/A,Mammillaria tetrancistra,1,TMTC,8,Fishhook Cactus,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3H",609281.89 m E,3899823.81 m N,4,48,MJV8-16-,SMcClure,Cobble,N/A,Poaceae**,49,78,6,Red brome?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-3H",609281.89 m E,3899823.81 m N,4,48,MJV8-16-,SMcClure,Cobble,N/A,Lycium andersonii,1,78,6,Thorn Bush,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3H",609281.89 m E,3899823.81 m N,4,48,MJV8-16-,SMcClure,Cobble,N/A,Plantago ovata,8,78,6,Desert Plantain,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3H",609281.89 m E,3899823.81 m N,4,48,MJV8-16-,SMcClure,Cobble,N/A,Erodium cicutarium,14,78,6,Pinweed,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3H",609281.89 m E,3899823.81 m N,4,48,MJV8-16-,SMcClure,Cobble,N/A,Eriogonum inflatum,3,78,6,Desert Trumpet,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3H",609281.89 m E,3899823.81 m N,4,48,MJV8-16-,SMcClure,Cobble,N/A,Poaceae**,3,78,6,Rice Grass?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-3I",609289.11 m E,3899813.47 m N,4,49,MJV8-16-,SMcClure,Basalt,N/A,Gilia cana spp. specifomis,2,67,7,Showy Gilia,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3I",609289.11 m E,3899813.47 m N,4,49,MJV8-16-,SMcClure,Basalt,N/A,Poaceae**,53,67,7,Red brome?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-3I",609289.11 m E,3899813.47 m N,4,49,MJV8-16-,SMcClure,Basalt,N/A,Cryptantha angustifolia,1,67,7,Forget me not,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3I",609289.11 m E,3899813.47 m N,4,49,MJV8-16-,SMcClure,Basalt,N/A,Plantago ovata,6,67,7,Desert Plantain,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3I",609289.11 m E,3899813.47 m N,4,49,MJV8-16-,SMcClure,Basalt,N/A,Eremalche rotundifolia,1,67,7,Desert Five Spot,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3I",609289.11 m E,3899813.47 m N,4,49,MJV8-16-,SMcClure,Basalt,N/A,Eremothera boothii,3,67,7,Booth's Sun Cups,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3I",609289.11 m E,3899813.47 m N,4,49,MJV8-16-,SMcClure,Basalt,N/A,Erodium cicutarium,1,67,7,Pinweed,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3J",609289.13 m E,3899812.03 m N,4,53,MJV8-16-,SMcClure,Cobble,N/A,Poaceae**,58,72,7,Red brome?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-3J",609289.13 m E,3899812.03 m N,4,53,MJV8-16-,SMcClure,Cobble,N/A,Poaceae**,4,72,7,Rice Grass?,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3J",609289.13 m E,3899812.03 m N,4,53,MJV8-16-,SMcClure,Cobble,N/A,Plantago ovata,1,72,7,Desert Plantain,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3J",609289.13 m E,3899812.03 m N,4,53,MJV8-16-,SMcClure,Cobble,N/A,Erodium cicutarium,3,72,7,Pinweed,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3J",609289.13 m E,3899812.03 m N,4,53,MJV8-16-,SMcClure,Cobble,N/A,Stylocline micropoides,1,72,7,Desert Nest Straw,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3J",609289.13 m E,3899812.03 m N,4,53,MJV8-16-,SMcClure,Cobble,N/A,Phacelia rotundifolia,4,72,7,Round Leafed Phacelia,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-3J",609289.13 m E,3899812.03 m N,4,53,MJV8-16-,SMcClure,Cobble,N/A,Unknown  red stem,1,72,7,Unknown Red Stem,,Rivas/S.Gregory,N,,,
