Observation #,Easting,Northing,GPS #,WP,Photo,Camera,Cover Class,Incline,Identify Plant,Number,Number Total (vascular),Number Unique,Plant Description,Abstract,Team,Correct ID?,Notes,QC,
"MJV8-16-BIO-VT-6,2-4J",609300.06 m E,3899810.72 m N,4,54,,L. Yang,Live Plant,N/A,Baccharis salicina,1,54,4,Mulefat,,Yang/Bedard,Y,,SM,
"MJV8-16-BIO-VT-6,2-A",609276.04 m E,3899863.12 m N,4,15,68,Brian Rivas,Gravel/,N/A,Lepidium densiflorum,2,11,3,Common Pepperweee,Very small,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-A",609276.04 m E,3899863.12 m N,4,15,67,Brian Rivas,Gravel/,N/A,Pectocarya penicillata,3,11,3,Hairy leaved comb bur,some white flowers,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-A",609276.04 m E,3899863.12 m N,4,15,1133,Brian Rivas,Gravel/,N/A,Poaceae**,6,11,3,Red brome?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-B",609273.61 m E,3899868.31 m N,4,16,69,Brian Rivas,Gravel/,N/A,Ambrosia dumosa,1,17,5,White bursage,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-B",609273.61 m E,3899868.31 m N,4,16,69,Brian Rivas,Gravel/,N/A,Poaceae**,10,17,5,Red brome?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-B",609273.61 m E,3899868.31 m N,4,16,69,Brian Rivas,Gravel/,N/A,Opuntia basilaris,1,17,5,Beavertail cactus,budded,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-B",609273.61 m E,3899868.31 m N,4,16,69,Brian Rivas,Gravel/,N/A,Pectocarya penicillata,2,17,5,Hairy leaved comb bur,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-B",609273.61 m E,3899868.31 m N,4,16,69,Brian Rivas,Gravel/,N/A,Lepidium densiflorum,3,17,5,Common Pepperweeed,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-C",609275.48 m E,3899873.69 m N,4,NA,70,Brian Rivas,Gravel/,N/A,Pectocarya penicillata,3,25,6,Hairy leaved comb bur,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-C",609275.48 m E,3899873.69 m N,4,NA,71,Brian Rivas,Gravel/,N/A,Lepidium densiflorum,2,25,6,Common Pepperweeed,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-C",609275.48 m E,3899873.69 m N,4,NA,72,Brian Rivas,Gravel/,N/A,Poaceae**,10,25,6,Red brome?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-C",609275.48 m E,3899873.69 m N,4,NA,70,Brian Rivas,Gravel/,N/A,Cryptantha angustifolia,6,25,6,Forget me not,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-C",609275.48 m E,3899873.69 m N,4,NA,70,Brian Rivas,Gravel/,N/A,Ambrosia dumosa,1,25,6,White bursage,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-C",609275.48 m E,3899873.69 m N,4,NA,70,Brian Rivas,Gravel/,N/A,Erodium cicutarium,3,25,6,Pinweed,Invasive,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-D",609275.48 m E,3899873.69 m N,4,NA,74,Brian Rivas,Gravel ,N/A,Poaceae**,20,37,7,Red brome?,,Rivas/S.Gregory,N,,,
"MJV8-16-BIO-VT-6,2-D",609277.57 m E,3899879.89 m N,4,17,74,Brian Rivas,Gravel ,N/A,Langloisia setosissima,1,37,7,Lilac sunbonnet,not blooming,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-D",609277.57 m E,3899879.89 m N,4,17,73,Brian Rivas,Gravel ,N/A,Cryptantha angustifolia,5,37,7,Forget me not,,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-D",609277.57 m E,3899879.89 m N,4,17,73,Brian Rivas,Gravel ,N/A,Erodium cicutarium,5,37,7,Pinweed,Invasive,Rivas/S.Gregory,Y,,SM,
"MJV8-16-BIO-VT-6,2-D",609277.57 m E,3899879.89 m N,4,17,73,Brian Rivas,Gravel ,N/A,Pectocarya penicillata,2,37,7,Hairy leaved comb bur,,Rivas/S.Gregory,Y,,SM,
