,Genus_Species,Latitude,Longitude
319,Bromus_madritensis,35.23560306,-114.1980431
320,Bromus_madritensis,35.23561111,-114.1964839
321,Bromus_madritensis,35.23561806,-114.1965
322,Bromus_madritensis,35.23562,-114.1980311
323,Bromus_madritensis,35.23563611,-114.1968419
324,Bromus_madritensis,35.23564389,-114.19651
325,Bromus_madritensis,35.23564583,-114.19649
326,Bromus_madritensis,35.23566,-114.1966419
327,Bromus_madritensis,35.23567389,-114.1968639
328,Bromus_madritensis,35.235675,-114.1977569
329,Bromus_madritensis,35.23568306,-114.1965389
330,Bromus_madritensis,35.23569417,-114.1966881
331,Bromus_madritensis,35.23571,-114.1964731
332,Bromus_madritensis,35.235715,-114.1980261
333,Bromus_madritensis,35.23571583,-114.1982281
334,Bromus_madritensis,35.23574306,-114.1965681
335,Bromus_madritensis,35.23574806,-114.1977281
336,Bromus_madritensis,35.23576694,-114.1982439
337,Bromus_madritensis,35.23576889,-114.1970119
338,Bromus_madritensis,35.23577111,-114.1969089
339,Bromus_madritensis,35.23577611,-114.1979758
340,Bromus_madritensis,35.23577889,-114.1964869
341,Bromus_madritensis,35.23577917,-114.1964989
342,Bromus_madritensis,35.2358,-114.196545
343,Bromus_madritensis,35.23580111,-114.1978481
344,Bromus_madritensis,35.23580111,-114.1965861
345,Bromus_madritensis,35.23580694,-114.1969381
346,Bromus_madritensis,35.23582194,-114.1979919
347,Bromus_madritensis,35.23582194,-114.1978469
348,Bromus_madritensis,35.23582306,-114.1978511
349,Bromus_madritensis,35.23582306,-114.1966261
350,Bromus_madritensis,35.23582611,-114.1965939
351,Bromus_madritensis,35.23584306,-114.1971508
352,Bromus_madritensis,35.23584389,-114.1970911
353,Bromus_madritensis,35.23585389,-114.1965869
354,Bromus_madritensis,35.23586194,-114.1968558
355,Bromus_madritensis,35.235885,-114.1965119
356,Bromus_madritensis,35.235925,-114.1965519
357,Bromus_madritensis,35.23594389,-114.1978361
358,Bromus_madritensis,35.235955,-114.196825
359,Bromus_madritensis,35.236,-114.1978631
360,Bromus_madritensis,35.23605417,-114.1967908
361,Bromus_madritensis,35.23608806,-114.1979242
362,Bromus_madritensis,35.23609389,-114.1968831
363,Bromus_madritensis,35.23612,-114.19659
364,Bromus_madritensis,35.23615694,-114.1966661
365,Bromus_madritensis,35.23616806,-114.1970739
366,Bromus_madritensis,35.23617806,-114.1969989
367,Bromus_madritensis,35.23617806,-114.1969989
368,Bromus_madritensis,35.23620194,-114.1970008
369,Bromus_madritensis,35.23626444,-114.2025717
370,Bromus_madritensis,35.236735,-114.2028531
371,Bromus_madritensis,35.23686389,-114.2029761
372,Bromus_madritensis,35.23690389,-114.2029161
373,Bromus_madritensis,35.23708,-114.2027469
374,Bromus_madritensis,35.23710111,-114.2029492
375,Bromus_madritensis,35.23719806,-114.1993192
376,Bromus_madritensis,35.23723,-114.1994231
377,Bromus_madritensis,35.23724111,-114.1993031
378,Bromus_madritensis,35.23724417,-114.1992681
379,Bromus_madritensis,35.237255,-114.1992531
380,Bromus_madritensis,35.23725806,-114.1992681
381,Bromus_madritensis,35.23726111,-114.1994189
382,Bromus_madritensis,35.23726194,-114.1994231
383,Bromus_madritensis,35.23728111,-114.1994039
384,Bromus_madritensis,35.23728194,-114.1992739
385,Bromus_madritensis,35.23728194,-114.1992419
386,Bromus_madritensis,35.23731194,-114.1993869
387,Bromus_madritensis,35.23731194,-114.19922
388,Bromus_madritensis,35.23735,-114.19935
389,Bromus_madritensis,35.23735694,-114.19936
390,Bromus_madritensis,35.23738806,-114.1993369
391,Bromus_madritensis,35.23756306,-114.1997619
392,Bromus_madritensis,35.23761389,-114.1997958
393,Bromus_madritensis,35.23762694,-114.1998219
394,Bromus_madritensis,35.23842806,-114.2016608
395,Bromus_madritensis,35.23844111,-114.2015811
396,Bromus_madritensis,35.238525,-114.20171
397,Bromus_madritensis,35.23853111,-114.2017489
398,Bromus_madritensis,35.23853694,-114.2016939
399,Bromus_madritensis,35.23855111,-114.2009561
400,Bromus_madritensis,35.23861,-114.2018981
401,Bromus_madritensis,35.23863389,-114.2013669
402,Bromus_madritensis,35.238675,-114.20192
403,Bromus_madritensis,35.23870111,-114.2011419
404,Bromus_madritensis,35.238715,-114.2011361
405,Bromus_madritensis,35.23876,-114.2012019
406,Bromus_madritensis,35.23878,-114.2011911
407,Camissonia_boothii,35.23456889,-114.1956661
408,Castilleja_angustifolia,35.23731194,-114.19922
409,Chaenactis_fremontii,35.23588,-114.2011439
410,Chaenactis_stevioides,35.23867306,-114.2010381
411,Chorizanthe_rigida,35.235588,-115.801555
412,Chorizanthe_rigida,35.235608,-115.801381
413,Chorizanthe_rigida,35.235776,-115.802389
414,Chorizanthe_rigida,35.236034,-115.801695
415,Chorizanthe_rigida,35.236039,-115.80184
416,Chorizanthe_rigida,35.236039,-115.80184
417,Chorizanthe_rigida,35.236039,-115.801703
418,Chorizanthe_rigida,35.236052,-115.801773
419,Chrysothamnus_viscidiflorus,35.235585,-114.1965389
420,Chrysothamnus_viscidiflorus,35.23570806,-114.2009631
421,Chrysothamnus_viscidiflorus,35.23584,-114.2010769
422,Chrysothamnus_viscidiflorus,35.235955,-114.196825
423,Chrysothamnus_viscidiflorus,35.23726111,-114.1994189
424,Peritoma_arborea,35.23447889,-114.19636
425,Peritoma_arborea,35.23450389,-114.1954539
426,Peritoma_arborea,35.234555,-114.1954689
427,Peritoma_arborea,35.23455806,-114.19561
428,Peritoma_arborea,35.23557917,-114.2010889
429,Peritoma_arborea,35.23560306,-114.1980431
430,Peritoma_arborea,35.23568889,-114.2011689
431,Peritoma_arborea,35.23577889,-114.1964869
432,Peritoma_arborea,35.23591417,-114.1981189
433,Peritoma_arborea,35.23596194,-114.1981469
434,Peritoma_arborea,35.23610806,-114.1981219
435,Peritoma_arborea,35.23616694,-114.1981169
436,Peritoma_arborea,35.236735,-114.2028531
437,Peritoma_arborea,35.23677,-114.202675
438,Peritoma_arborea,35.237105,-114.202185
439,Peritoma_arborea,35.23728111,-114.1994039
440,Peritoma_arborea,35.23747194,-114.199445
441,Peritoma_arborea,35.23747889,-114.1997269
442,Peritoma_arborea,35.23762306,-114.19946
443,Peritoma_arborea,35.23840611,-114.2016642
444,Cryptantha_angustifolia,35.23456,-114.1967939
